asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
568,248.454283992,813.0,56.0,ADM3,568,568,ETH,ETH-ADM3-50319843B31431782,Gimbo,ADM3
569,374.240245708,975.0,35.0,ADM3,569,569,ETH,ETH-ADM3-50319843B10485459,Alaba SP Woreda,ADM3
570,406.360459198,621.0,179.0,ADM3,570,570,ETH,ETH-ADM3-50319843B18914140,Anigacha,ADM3
571,464.460734221,1940.0,100.0,ADM3,571,571,ETH,ETH-ADM3-50319843B24707927,Chena,ADM3
572,204.777363429,501.0,109.0,ADM3,572,572,ETH,ETH-ADM3-50319843B70538345,Boloso sore,ADM3
573,288.365679044,823.0,77.0,ADM3,573,573,ETH,ETH-ADM3-50319843B90345489,Mareka,ADM3
574,136.894258527,480.0,11.0,ADM3,574,574,ETH,ETH-ADM3-50319843B22538189,Wondo-Genet,ADM3
575,180.982113804,396.0,79.0,ADM3,575,575,ETH,ETH-ADM3-50319843B57719987,Damot Gale,ADM3
576,850.84350048,1574.0,208.0,ADM3,576,576,ETH,ETH-ADM3-50319843B76792322,Esira,ADM3
577,221.039375655,560.0,92.0,ADM3,577,577,ETH,ETH-ADM3-50319843B61716694,Sodo Zuria,ADM3
578,508.398630682,844.0,102.0,ADM3,578,578,ETH,ETH-ADM3-50319843B37944143,Loka Abaya,ADM3
579,855.478192012,1237.0,653.0,ADM3,579,579,ETH,ETH-ADM3-50319843B10692906,Arbe Gonna,ADM3
580,809.293444736,1337.0,182.0,ADM3,580,580,ETH,ETH-ADM3-50319843B42360279,Ofa,ADM3
581,266.688229088,733.0,63.0,ADM3,581,581,ETH,ETH-ADM3-50319843B6981525,Hulla,ADM3
582,352.303777241,728.0,62.0,ADM3,582,582,ETH,ETH-ADM3-50319843B59265962,Chuko,ADM3
583,621.623019591,1281.0,181.0,ADM3,583,583,ETH,ETH-ADM3-50319843B63859874,Melekoza,ADM3
584,1007.11467454,1523.0,180.0,ADM3,584,584,ETH,ETH-ADM3-50319843B5379492,Kucha,ADM3
585,1073.40370965,1822.0,152.0,ADM3,585,585,ETH,ETH-ADM3-50319843B32259273,Chire,ADM3
586,493.790821744,1062.0,131.0,ADM3,586,586,ETH,ETH-ADM3-50319843B8191059,Denibu Gofa,ADM3
587,725.355752262,1512.0,161.0,ADM3,587,587,ETH,ETH-ADM3-50319843B33938150,Aroresa,ADM3
588,260.250827913,801.0,66.0,ADM3,588,588,ETH,ETH-ADM3-50319843B42287313,Dara,ADM3
589,1608.15569972,3057.0,550.0,ADM3,589,589,ETH,ETH-ADM3-50319843B15631022,Surma,ADM3
590,960.566524784,1834.0,358.0,ADM3,590,590,ETH,ETH-ADM3-50319843B52597323,Selamgo,ADM3
591,885.170617761,1901.0,400.0,ADM3,591,591,ETH,ETH-ADM3-50319843B41233663,Maji,ADM3
592,193.352344663,741.0,13.0,ADM3,592,592,ETH,ETH-ADM3-50319843B57544721,Chencha,ADM3
593,579.304440249,1252.0,28.0,ADM3,593,593,ETH,ETH-ADM3-50319843B63989082,Dita,ADM3
594,584.205588822,1340.0,197.0,ADM3,594,594,ETH,ETH-ADM3-50319843B9843183,Basketo SP Woreda,ADM3
595,928.17655485,1294.0,466.0,ADM3,595,595,ETH,ETH-ADM3-50319843B72307986,Daramalo,ADM3
596,868.362887557,1170.0,483.0,ADM3,596,596,ETH,ETH-ADM3-50319843B43790946,Bule,ADM3
597,325.22200465,761.0,95.0,ADM3,597,597,ETH,ETH-ADM3-50319843B34397057,Yirgachefe,ADM3
598,92.8566836329,859.0,0.0,ADM3,598,598,ETH,ETH-ADM3-50319843B71341501,Arba Minch Zuria,ADM3
599,1026.32861757,2027.0,299.0,ADM3,599,599,ETH,ETH-ADM3-50319843B58337175,Shay Bench,ADM3
600,520.63769035,1009.0,29.0,ADM3,600,600,ETH,ETH-ADM3-50319843B12952434,Amaro,ADM3
601,432.293284235,859.0,52.0,ADM3,601,601,ETH,ETH-ADM3-50319843B18904110,Burji,ADM3
602,318.929520942,797.0,53.0,ADM3,602,602,ETH,ETH-ADM3-50319843B9579775,Konso,ADM3
603,462.750137734,832.0,313.0,ADM3,603,603,ETH,ETH-ADM3-50319843B11012673,Gnangatom,ADM3
604,456.108253686,1138.0,79.0,ADM3,604,604,ETH,ETH-ADM3-50319843B89545937,Zala,ADM3
605,533.531405247,1229.0,151.0,ADM3,605,605,ETH,ETH-ADM3-50319843B19878015,Ezha,ADM3
606,257.227591274,643.0,110.0,ADM3,606,606,ETH,ETH-ADM3-50319843B51726894,Damot Sore,ADM3
607,471.894762832,734.0,191.0,ADM3,607,607,ETH,ETH-ADM3-50319843B13266883,Boloso Bombe,ADM3
608,336.704026847,820.0,121.0,ADM3,608,608,ETH,ETH-ADM3-50319843B11348226,Kindo Koysha,ADM3
609,578.291882876,1268.0,161.0,ADM3,609,609,ETH,ETH-ADM3-50319843B63415072,Kindo Dida,ADM3
610,155.613636396,344.0,85.0,ADM3,610,610,ETH,ETH-ADM3-50319843B6944236,Damot Pulasa,ADM3
611,226.316227244,582.0,16.0,ADM3,611,611,ETH,ETH-ADM3-50319843B77615393,Hawassa Zuria,ADM3
