id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
313314,HAJJ,medium_airport,"Wilwal International Airport",9.3325,42.9121,5954,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,Jijiga,1,HAJJ,JIJ,,,https://en.wikipedia.org/wiki/Jijiga_Airport,"Garaad Wiil-Waal",500,2014-12-01T00:25:04+00:00
30612,HAKD,medium_airport,"Kebri Dahar Airport",6.732577,44.241339,1800,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,"Kebri Dahar",1,HAKD,ABK,,,https://en.wikipedia.org/wiki/Kabri_Dar_Airport,"Kabri Dar",500,2022-03-25T17:29:18+00:00
32017,HAMN,small_airport,"Mendi Airport",9.767,35.099998,5500,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Mendi,0,HAMN,NDM,,,,,50,2020-10-26T10:09:58+00:00
3163,HAGM,medium_airport,"Gambella Airport",8.12876033782959,34.5630989074707,1614,AF,Ethiopia,ET,"Gambela Region",ET-GA,GA,Gambela,1,HAGM,GMB,,,https://en.wikipedia.org/wiki/Gambela_Airport,"Gambela National Park",750,2008-06-13T14:30:04+00:00
3165,HAGO,medium_airport,"Gode Airport",5.93513011932,43.5786018372,834,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,Gode,1,HAGO,GDE,,,https://en.wikipedia.org/wiki/Gode_Airport,Iddiole,750,2010-04-10T17:28:48+00:00
300239,HAHM,medium_airport,"Harar Meda Airport",8.7163,39.0059,6201,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,"Debre Zeyit",0,HAHM,QHR,,,https://en.wikipedia.org/wiki/Harar_Meda_Airport,"አባጤናደጃ ደጃደጃ",250,2016-06-02T08:21:59+00:00
30664,HALA,medium_airport,"Hawassa International Airport",7.099869,38.396187,5450,AF,Ethiopia,ET,"Sidama Region",ET-XSD,XSD,Hawassa,0,HALA,AWA,,,https://en.wikipedia.org/wiki/Awasa_Airport,Awasa,250,2022-08-16T17:14:40+00:00
28119,HABC,small_airport,"Baco Airport",5.78287,36.562,4580,AF,Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",ET-SN,SN,Baco,0,HABC,BCO,,,https://en.wikipedia.org/wiki/Baco_Airport,Jinka,150,2016-06-01T06:33:17+00:00
30694,HABE,small_airport,"Beica Airport",9.38639,34.5219,5410,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Beica,1,HABE,BEI,,,,,150,2020-10-26T10:18:40+00:00
30885,HADD,small_airport,"Dembidollo Airport",8.553999900817871,34.858001708984375,5200,AF,Ethiopia,ET,"Gambela Region",ET-GA,GA,Dembidollo,1,HADD,DEM,,,,,150,2008-12-19T20:07:02+00:00
30949,HADC,small_airport,"Combolcha Airport",11.082500457763672,39.71139907836914,6117,AF,Ethiopia,ET,"Amhara Region",ET-AM,AM,Dessie,1,HADC,DSE,,,,,150,2008-12-19T20:07:00+00:00
31547,HAGR,small_airport,"Gore Airport",8.1614,35.5529,6580,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Gore,1,HAGR,GOR,,,https://en.wikipedia.org/wiki/Gore_Airport,,150,2020-10-26T10:06:50+00:00
31960,HAMT,small_airport,"Mizan Teferi Airport",6.9571,35.5547,4396,AF,Ethiopia,ET,"Gambela Region",ET-GA,GA,"Mizan Teferi",1,HAMT,MTF,,,https://en.wikipedia.org/wiki/Mizan_Teferi_Airport,,150,2011-10-07T06:59:59+00:00
28145,HIL,small_airport,"Shilavo Airport",6.077545,44.763736,1296,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,Shilavo,1,HASL,HIL,,,https://en.wikipedia.org/wiki/Shilavo_Airport,"Shillavo, Shilabo, Scilave, ሺላቮ",150,2021-10-06T17:22:07+00:00
32294,ET-SHC,small_airport,"Shire Inda Selassie Airport",14.075699,38.273592,6207,AF,Ethiopia,ET,"Tigray Region",ET-TI,TI,"Shire Inda Selassie",1,HASC,SHC,,,,"Indaselassie, Indasilase",150,2022-09-25T21:05:21+00:00
