IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
4/12/2024,,37PDK7686593824,8.990648,38.789524,Addis Ababa,Addis Ababa,No,,Yes,Armed Clash,ENDF & FANO,FANO member,Crime,Sources reported that two Fano members killed and one under controll following crosfiring between the government forces and fano militants at Bole subcity millenium hall vicinity. According to reports injury also recorded on government security forces.,2,1,Yes,No,,Bole sub city,crime oriented
4/12/2024,,37PFM8578570959,10.58826,40.698105,,Afar,No,,Yes,Armed Clash,Afar & Issa clans,,Crime,"On April 12th and 13th, armed conflicts occurred between Afar and Issa/Somali groups in contested border areas of the Afar and Somali regions. The clashes occurred in Hanruka, Gelalo, and Gewani woredas of Zone 3 (Gebi Resu)",0,0,No,No,,Zone 3(Gabi Rasu),conflict oriented
4/12/2024,,37PGM9186777965,10.644836,41.667655,Siti,Somali,No,,Yes,Armed Clash,UAG,Unclear,Crime,"On April 14th, further conflict was reported in the Qalacle plain, Madax-Riyadh, Duca, Coble, and Moqorka Galille in Dhunyar Woreda, Sitti Zone. The number of casualties has not been confirmed, and tensions remain high.",0,0,No,No,,Siti,conflict oriented
4/10/2024,,37PDK8080401802,8.1583007,38.825741,Meki,Oromia,No,,Yes,Crime/Killing,Unidentified,OLF party official,Crime,"BBC reported that on April 10th 2024, Bate Urgessa, a prominent Ethiopian opposition figure from the OLF and recently released from his arrest in relation to the unauthorized interview with a French Journalist during the AU meetings, was fatally shot in Meki, Oromia.",1,0,No,No,BBC,East Shewa,crime orinted
4/9/2024,,37PCN2026881285,11.58592,37.351638,Bahir Dar,Amhara,No,,Yes,Crime/Killing,Unidentified gunman,Civilians back from mosque,Crime,"Wazema radio reported that on April 7 , five individuals individuals have been killed in Bahirdar by unidentified individuals on thier way to home from Mosque evening prayer.",7,0,No,No,Wazema Radio,North Gojjam,crime oriented
4/7/2024,,37PCN1975481610,11.588831,37.346906,Bahirdar,Amhara,No,,Yes,Crime/Killing,Unidentified gunman,Civilians back from mosque,Crime,"BBC Amharic reported that In Bahir Dar city kebele 14, unknown gunmen killed 5 innocent civilians on their way to home from mosque. Following this peaceful demonstration reported on the city.",5,0,No,No,BBC,West Gojjam,crime oriented
3/27/2024,,36PXQ6113514071,8.266638,34.463034,Abol,Gambella,No,,Yes,Crime/Killing,UAG,Public bus,Crime,"Reports indicate that a public bus en route from Gambella City to Lare woreda was shot at by Unidentified Armed Groups (UAG) in the outskirts of Abol town in the Gambella zuria woreda. The attack has resulted in an unconfirmed number of travelers sustaining injuries, and there are reports of fatalities.",Unknown,Unknown,Yes,No,,Gambella,crime oriented
3/21/2024,,37PDM6696630836,10.22981,38.698372,Dera,Oromia,No,,Yes,Kidnapping,UAG,Residents,Crime,"VOA reportedd hthat unidentified individuals reportedly abducted residents two weeks ago. According to family members, their current whereabouts remain unknown. Residents suggested that the abductors, who entered three villages in the Dera Woreda in February, could be associated with Fano and OLA factions.",0,0,No,No,VOA,North Shewa,crime oriented
3/21/2024,,37PFM0676142580,10.33469,39.975115,,Amhara,No,,Yes,Crime/Killing,OLA,Civilians,Crime,"Wazema radio reported that Oromo Liberation Front (OLF) confirmed the killing 35 Wollo Oromos and injuries to 70 others in the Oromo Special Zone of the Amhara Region, specifically in the Kolashi Kebele, Jille Tumuga Woreda, and warned that the violence is spreading. The group accused Fano militants, Amhara regional police, militias, and the defense forces of committing these acts.",35,70,Yes,No,Wazema Radio,Oromo sppecial zone,crime oriented
3/15/2024,,37PFM4774032918,10.245982,40.348962,Mahi Resu,Afar,No,,Yes,Intercommunal Violence,Afar & Issa clans,,Miscellaneous,"Recent reports from the Afar Region highlight ongoing security concerns across various locations. On March 14th, an armed conflict was reported between the Afar and Issa clans in Ada?ado Woreda of Mahi Resu (Zone 6) disputed territory between Afar and Somali Regions.",0,0,No,No,,Zone 6,conflict oriented
3/15/2024,,37PEK3066134942,8.458002,39.278557,Wonji,Oromia,No,,Yes,Kidnapping,UAG,Factory employees,Crime,"On March 15,2024 Five Wonji Sugar Factory workers from Wonji, Adama, and Dessie, held hostage for two weeks, were found dead near the factory in Chakha. An armed group abducted the victims, including tractor operators and an electrician, in Dodota Woreda.",0,5,Yes,No,,Eastern Shewa,crime oriented
3/12/2024,,36PXQ7492511714,8.244856,34.588124,Gambella,Gambella,Yes,,Yes,Armed Clash,UAG,Bar,Explosive/Remote Violence,"Reports have emerged of an explosion, potentially from a grenade attack, occurring in a bar located near Baro Bridge within Gambella City. The incident resulted in an unspecified number of injuries, with casualties still unknown.",0,Unknown,No,No,,Gambella,crime/conflict oriented
3/11/2024,,37PCN1613893052,11.69207,37.313128,Zege,Amhara,No,,Yes,Armed Clash,UAG,Amhara FM transmition,Crime,"Reports indicate that fresh fighting erupted in the Zege Peninsula located in Bahir Dar Zuria Woreda on the outskirts of Bahir Dar, the regional capital of the Amhara Region. According to reports, an Unknown Armed Group (UAG) has allegedly targeted the Amhara FM transmission antenna in Zege. Currently, the situation in the area remains tense.",0,0,No,No,,Bahirdar,conflict oriented
3/1/2024,,37PCN2773283429,11.60568,37.419965,Bahirdar,Amhara,No,,Yes,Armed Clash,FANO & ENDF,,Crime,"Local sources reported that heavy fighting launched in the City on three directions: Airport direction/woramit gebriel, kebelle 14, and Abay mado (near regional council) and Sebatamit between Fano and ENDF",0,0,No,No,local sources,West Gojjam,conflict oriented
2/28/2024,,37PEQ8107577223,13.361393,39.748724,Abala,Afar,No,,No,Protest,Residents,Demanding drinking water,Demonstration,"Various incidents have been reported in different locations within the Afar Region on February 27th and 28th. On February 27th, residents reportedly blocked NGO truck near Abala town (Zone 2) to highlight their need for food assistance. Residents of Sereba village in Erebti Woreda of Kilbeti Resu Zone (Zone 2) blocked the main road connecting Semera to Abala to Presure regional authoritie to address their drinking water concerns.",0,0,No,No,,Zone 2,conflict oriented
2/21/2024,,37PEP3057883445,12.514334,39.28144,Chercher/Bala,Amhara/Tigray,No,,Yes,Armed Clash,Amhara militia & TPLF militia,,Crime,"Clashes and tensions have been observed in Zata Ofla woreda of Raya, the contested areas between Amhara and Tigray Regions. The altercation, involving Amhara militia and Tigray militia, initiated around noon and lasted about an hour with sporadic gunfire exchanges. The conflict, however, was short-lived, due to prompt intervention by government security forces in mediating and restoring peace.",0,0,No,No,,Raya Alamata,conflict oriented
2/16/2024,,37PEP6300575169,12.439023,39.579727,Alamata,Amhara/Tigray,No,,Yes,Armed Clash,Amhara militia & TPLF forces,,Crime,"Clashes and tensions have been observed in chercher and Bala woredas of raya, situated between Alamata and Mehoni, the contested areas between Amhara and Tigray Regions. The altercation, involving Amhara militia and TPLF forces, initiated on Wednesday with sporadic gunfire exchanges. The conflict, however, was short-lived, due to prompt intervention by government security forces in mediating and restoring peace.",0,0,No,No,,Raya/Alamata,conflict oriented
2/2/2024,,37PBN9941462948,11.419018,37.16152,Merawi,Amhara,No,,Yes,Armed Clash,ENDF & FANO,Civilians,Crime,"Ehiopian human right commision reported over 50 people were reportedly killed in Merawi city, Amhara region, following clashes between the military and Fano militants. The Ethiopian Human Rights Commission is investigating the incident, which included attacks on civilians.",50,0,No,No,Ethiopian Human Rights,North Gojjam,crime oriented
2/1/2024,,37PEQ5111892516,13.500337,39.472356,Mekelle,Tigray,No,,No,Protest,Tigray combtants,TPLF & Interim Admin,Demonstration,"VOA Amharic reported former Tigray combatants held a protest in Mekelle city, expressing dissatisfaction with their leadership's response and the lack of adequate medical support. Protesters criticized the Tigray People's Liberation Front and the interim Tigray administration for not addressing their concerns, despite over two months of discussions.",0,0,No,No,VOA Amharic,Central,Unknown
1/31/2024,,37PBN9758062373,11.413716,37.144752,Merwai,Amhara,No,,Yes,Armed Clash,FANO & ENDF,Military action against FANO,Crime,"January 31st Borkena Media, and other medias reoported that heavy fighting reported in Merawi (China camp) between FANO and ENDF forces. reportedly a significant incident in Merawi, following a military operation. There were reports of casualties among civilians.",0,0,No,No,Borkena Media,North Gojjam,conflict oriented
