Location,QuadKey,Url,Size
Ethiopia,122331202,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331202/part-00168-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,10.9MB
Ethiopia,122331203,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331203/part-00123-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,5.9MB
Ethiopia,122331210,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331210/part-00131-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,339.0B
Ethiopia,122331211,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331211/part-00015-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,55.5KB
Ethiopia,122331212,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331212/part-00092-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,516.8KB
Ethiopia,122331213,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331213/part-00099-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,72.7KB
Ethiopia,122331220,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331220/part-00117-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.7MB
Ethiopia,122331221,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331221/part-00002-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.2MB
Ethiopia,122331230,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331230/part-00047-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,350.9KB
Ethiopia,122331232,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331232/part-00198-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,44.4KB
Ethiopia,122331300,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331300/part-00162-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,141.5KB
Ethiopia,122331302,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331302/part-00101-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,5.4KB
Ethiopia,122332010,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332010/part-00017-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.3KB
Ethiopia,122332011,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332011/part-00187-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.7KB
Ethiopia,122332013,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332013/part-00160-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,26.3KB
Ethiopia,122332101,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332101/part-00195-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.5MB
Ethiopia,122332102,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332102/part-00121-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.2KB
Ethiopia,122332103,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332103/part-00187-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.3KB
Ethiopia,122332110,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332110/part-00025-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,3.2KB
Ethiopia,122332121,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332121/part-00048-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,801.0B
Ethiopia,122332130,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332130/part-00111-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,38.8KB
Ethiopia,122332131,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332131/part-00037-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,646.0KB
Ethiopia,122332133,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122332133/part-00037-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.6KB
Ethiopia,122333003,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333003/part-00134-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,333.0B
Ethiopia,122333020,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333020/part-00162-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,26.5KB
Ethiopia,122333021,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333021/part-00073-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.5KB
Ethiopia,122333022,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333022/part-00010-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,68.3KB
Ethiopia,122333030,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333030/part-00079-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,61.2KB
Ethiopia,122333031,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122333031/part-00135-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,322.3KB
