event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10504,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Police Forces of Ethiopia (2018-) Oromia State Police","Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa","Abichugna Gnea","Neseri Menehoro",9.7021,39.1840,1,"Deutsche Welle; Oromiya Media Network; VOA",International,"On 26 August 2023, Fano militia men clashed with Oromia Regional State police forces and Kebele militias in Neseri Menehoro kebele, Abichugna Gnea woreda (North Shewa, Oromia) and in Gamo kebele (coded separately), resulting in over 20 Fano militias getting killed and over 50 wounded. The armed group crossed in to Oromia region from Deneba and Anchekorer towns of Amhara region. Fatalities split into two and coded as 10.",10,,1693863642
ETH10505,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,23,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,"Gundo Meskel",10.2500,38.7333,1,"Addis Maleda; Borkena Ethiopian News; Undisclosed Source","Local partner-Other","On 26 August 2023, Fano Militias exchanged fire with OLF Shane in Gundo Meskel town, Dera woreda (North Shewa, Oromia), resulting in unknown number of combatants getting killed and wounded from both sides. Unidentified fatalities coded as 3.",3,,1693863642
ETH10506,2023-08-26,2023,2,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,,231,"Eastern Africa",Ethiopia,SNNP,Amaro,Amaro,"Kelle Town",5.8342,37.8982,2,"Addis Maleda",National,"Around 26 August 2023 (as reported), ENDF conducted military operation against OLF Shane in a place named Bik-Tilik and bordering with Gelana woreda of Oromia region (coded to admin center, Kelle Town) in Amaro zone (Amaro, South Ethiopia Regional State, formerly SNNP). The armed operation and insecurities in the area forced the only road connecting Kelle town with Dilla through Tore and Chelelektu be closed for transportation. Casualties unknown.",0,,1693863642
ETH10507,2023-08-26,2023,2,"Strategic developments","Strategic developments",Arrests,"Police Forces of Ethiopia (2018-) SNNP State Police",,1,"Civilians (Ethiopia)",,7,17,,231,"Eastern Africa",Ethiopia,SNNP,Gamo,"Arba Minch Zuria",Shera,6.0760,37.5757,1,ESAT,International,"Around 26 August 2023 (weekend of), an unidentified number of people (mostly men and youth) were arrested, and security forces, coded as SNNP police, conducted house-to-house searches in Shera (Arba Minch Zuria, Gamo) following a two-day armed cash involving an unidentified armed group and security forces (coded separately). Witnesses stated that various properties, like cash and jewelry, were looted during the house-to-house search.",0,,1693863642
ETH10487,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.3500,37.7333,1,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF in Debre Markos town (East Gojam, Amhara). The armed clash began when Fano militias began to attack the town and controlled some areas in the town. The armed clash continued the next day (coded separately). On 25 August 2023, four civilians were injured due to a shelling that landed on two houses.",0,,1693863642
ETH10488,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Gondar","Dabat town",Dabat,12.9810,37.7620,2,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF around Enkash and Ajire. Casualties unknown. Locations not found, coded at Dabat town (North Gondar, Amhara).",0,,1693863642
ETH10489,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Wello","Woldiya town",Weldiya,11.8277,39.5916,2,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF in Enkash area (near Dabat) in North Wello zone. Casualties unknown. Location not found, coded at the administrative center of the zone, Woldiya town (Weldiya, North Wello).",0,,1693863642
ETH10490,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.8500,38.0166,1,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF in Debre Tabor town (South Gondar, Amhara). Casualties unknown.",0,,1693863642
ETH10491,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar",Ebenat,Ibnat,12.1333,38.0500,2,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF in and around Ibnat town (Ebenat, South Gondar, Amhara). Casualties unknown.",0,,1693863642
ETH10492,2023-08-25,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Woreta town",Wereta,11.9167,37.7000,2,EMS,Other,"On 25 August 2023, Fano militia clashed with ENDF in and around Wereta town (Woreta town, South Gondar, Amhara). Casualties unknown.",0,,1693863642
